thread_url,user,ts,supports_count
https://decidim.barcelona.cat/proposals/efectuar-millores-als-mercats-de-canyelles-i-de-la-merce,Ajuntament de Barcelona,2016-01-29T00:00:00Z,1
https://decidim.barcelona.cat/proposals/taula-d-economia-social-i-solidaria,Ajuntament de Barcelona,2016-01-29T00:00:00Z,2
https://decidim.barcelona.cat/proposals/impulsar-iniciatives-de-consum-responsable-i-solidari,Ajuntament de Barcelona,2016-01-29T00:00:00Z,8
https://decidim.barcelona.cat/proposals/pla-d-ampliacio-dels-horts-urbans-i-comunitaris,Ajuntament de Barcelona,2016-01-29T00:00:00Z,24
https://decidim.barcelona.cat/proposals/donar-suport-a-les-iniciatives-internes-i-a-les-entitats-de-difusio-turistica,Ajuntament de Barcelona,2016-01-29T00:00:00Z,1
https://decidim.barcelona.cat/proposals/gestionar-recuperar-i-difondre-bens-patrimonials-del-districte,Ajuntament de Barcelona,2016-01-29T00:00:00Z,3
https://decidim.barcelona.cat/proposals/pla-de-millora-del-manteniment-de-l-espai-public,Ajuntament de Barcelona,2016-01-29T00:00:00Z,4
https://decidim.barcelona.cat/proposals/pla-d-adequacio-de-zones-d-esbarjo-per-a-gossos,Ajuntament de Barcelona,2016-01-29T00:00:00Z,17
https://decidim.barcelona.cat/proposals/centres-d-interpretacio-i-educatius-mediambientals-i-historics-a-collserola,Ajuntament de Barcelona,2016-01-29T00:00:00Z,2
https://decidim.barcelona.cat/proposals/promoure-el-cami-del-rec-comtal-amb-activitats-educatives-i-culturals,Ajuntament de Barcelona,2016-01-29T00:00:00Z,12
https://decidim.barcelona.cat/proposals/revisio-del-pla-de-drogues-noves-addiccions-i-alcoholisme,Ajuntament de Barcelona,2016-01-29T00:00:00Z,6
https://decidim.barcelona.cat/proposals/pla-de-millora-de-l-arbrat,Ajuntament de Barcelona,2016-01-29T00:00:00Z,8
https://decidim.barcelona.cat/proposals/pla-de-reforma-integral-de-can-peguera,Ajuntament de Barcelona,2016-01-29T00:00:00Z,2
https://decidim.barcelona.cat/proposals/adequar-els-locals-de-vilalba-dels-arcs-per-a-serveis-i-entitats-del-barri,Ajuntament de Barcelona,2016-01-29T00:00:00Z,0
https://decidim.barcelona.cat/proposals/remodelar-la-placa-de-soller,Ajuntament de Barcelona,2016-01-29T00:00:00Z,5
https://decidim.barcelona.cat/proposals/urbanitzar-la-placa-de-les-dones,Ajuntament de Barcelona,2016-01-29T00:00:00Z,2
https://decidim.barcelona.cat/proposals/voreres-del-carrer-de-llobera-fins-al-mirador,Ajuntament de Barcelona,2016-01-29T00:00:00Z,3
https://decidim.barcelona.cat/proposals/pergola-del-campillo-de-la-virgen-a-torre-baro,Ajuntament de Barcelona,2016-01-29T00:00:00Z,2
