thread_id,ts,supports_total_count
https://decide.madrid.es/proposals/114,2015-09-15T00:00:00Z,107
https://decide.madrid.es/proposals/1140,2015-09-17T00:00:00Z,11
https://decide.madrid.es/proposals/1141,2015-09-17T00:00:00Z,33
https://decide.madrid.es/proposals/1142,2015-09-17T00:00:00Z,3
https://decide.madrid.es/proposals/1143,2015-09-17T00:00:00Z,63
https://decide.madrid.es/proposals/1144,2015-09-17T00:00:00Z,784
https://decide.madrid.es/proposals/1145,2015-09-17T00:00:00Z,111
https://decide.madrid.es/proposals/1146,2015-09-17T00:00:00Z,105
https://decide.madrid.es/proposals/1147,2015-09-17T00:00:00Z,25
https://decide.madrid.es/proposals/1148,2015-09-17T00:00:00Z,285
https://decide.madrid.es/proposals/1149,2015-09-17T00:00:00Z,39
https://decide.madrid.es/proposals/115,2015-09-15T00:00:00Z,79
https://decide.madrid.es/proposals/1150,2015-09-17T00:00:00Z,7
https://decide.madrid.es/proposals/1151,2015-09-17T00:00:00Z,7
https://decide.madrid.es/proposals/1152,2015-09-17T00:00:00Z,191
https://decide.madrid.es/proposals/1153,2015-09-17T00:00:00Z,63
https://decide.madrid.es/proposals/1154,2015-09-17T00:00:00Z,453
https://decide.madrid.es/proposals/1155,2015-09-17T00:00:00Z,154
https://decide.madrid.es/proposals/1156,2015-09-17T00:00:00Z,18
https://decide.madrid.es/proposals/1157,2015-09-17T00:00:00Z,31
https://decide.madrid.es/proposals/1158,2015-09-17T00:00:00Z,88
https://decide.madrid.es/proposals/1159,2015-09-17T00:00:00Z,179
https://decide.madrid.es/proposals/116,2015-09-15T00:00:00Z,104
https://decide.madrid.es/proposals/1160,2015-09-17T00:00:00Z,39
https://decide.madrid.es/proposals/1161,2015-09-17T00:00:00Z,47
https://decide.madrid.es/proposals/1162,2015-09-17T00:00:00Z,172
https://decide.madrid.es/proposals/1163,2015-09-17T00:00:00Z,24
https://decide.madrid.es/proposals/1164,2015-09-17T00:00:00Z,29
https://decide.madrid.es/proposals/1165,2015-09-17T00:00:00Z,215
https://decide.madrid.es/proposals/1166,2015-09-17T00:00:00Z,40
https://decide.madrid.es/proposals/1167,2015-09-17T00:00:00Z,11
https://decide.madrid.es/proposals/1168,2015-09-17T00:00:00Z,114
https://decide.madrid.es/proposals/1169,2015-09-17T00:00:00Z,78
https://decide.madrid.es/proposals/117,2015-09-15T00:00:00Z,226
https://decide.madrid.es/proposals/1170,2015-09-17T00:00:00Z,19
https://decide.madrid.es/proposals/1171,2015-09-17T00:00:00Z,270
https://decide.madrid.es/proposals/1172,2015-09-17T00:00:00Z,30
https://decide.madrid.es/proposals/1173,2015-09-17T00:00:00Z,4
https://decide.madrid.es/proposals/1174,2015-09-17T00:00:00Z,212
https://decide.madrid.es/proposals/1175,2015-09-17T00:00:00Z,78
https://decide.madrid.es/proposals/1176,2015-09-17T00:00:00Z,20
https://decide.madrid.es/proposals/1177,2015-09-17T00:00:00Z,11
https://decide.madrid.es/proposals/1178,2015-09-17T00:00:00Z,234
https://decide.madrid.es/proposals/1179,2015-09-17T00:00:00Z,50
https://decide.madrid.es/proposals/118,2015-09-15T00:00:00Z,1214
https://decide.madrid.es/proposals/1180,2015-09-17T00:00:00Z,29
https://decide.madrid.es/proposals/1181,2015-09-17T00:00:00Z,152
https://decide.madrid.es/proposals/1182,2015-09-17T00:00:00Z,52
https://decide.madrid.es/proposals/1183,2015-09-17T00:00:00Z,139
https://decide.madrid.es/proposals/1184,2015-09-17T00:00:00Z,34
